City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Muyezerskiy,RU,2022-10-01 17:52:43,63.9333,31.65,276.0,96,91,1.17,overcast clouds
165,Saint Anthony,US,2022-10-01 17:52:43,45.0205,-93.218,295.25,55,40,2.57,scattered clouds
166,Tabas,IR,2022-10-01 17:52:44,33.5959,56.9244,300.37,17,0,3.2,clear sky
167,Dekar,BW,2022-10-01 17:52:44,-21.5333,21.9333,299.8,17,0,3.71,clear sky
168,Polovinnoye,RU,2022-10-01 17:52:44,54.7914,65.9864,273.19,51,18,3.34,few clouds
169,Mitzic,GA,2022-10-01 17:52:45,0.7821,11.549,294.19,96,94,1.46,moderate rain
170,Riyadh,SA,2022-10-01 17:48:38,24.6877,46.7219,304.23,13,0,3.6,clear sky
171,Tobermory,CA,2022-10-01 17:52:45,45.2501,-81.6665,287.3,71,9,8.43,clear sky
172,East Stroudsburg,US,2022-10-01 17:52:46,40.9995,-75.1813,289.55,82,100,4.43,overcast clouds
173,Banda Aceh,ID,2022-10-01 17:52:47,5.5577,95.3222,299.62,78,99,4.47,overcast clouds
174,San Andres,CO,2022-10-01 17:52:07,12.5847,-81.7006,304.16,70,75,2.57,broken clouds
175,Liverpool,GB,2022-10-01 17:52:47,53.4106,-2.9779,288.61,81,40,5.66,scattered clouds
176,Dharchula,IN,2022-10-01 17:52:48,29.85,80.5333,292.03,90,52,1.91,broken clouds
177,Ostrovnoy,RU,2022-10-01 17:52:48,68.0531,39.5131,275.2,96,100,5.32,overcast clouds
178,Novorudnyy,RU,2022-10-01 17:52:49,51.5026,58.1873,278.3,58,100,3.42,overcast clouds
179,Lekoni,GA,2022-10-01 17:52:49,-1.5843,14.2591,297.6,80,91,2.19,light rain
180,Diamantino,BR,2022-10-01 17:52:50,-14.4086,-56.4461,309.62,30,55,2.03,broken clouds
181,Pangoa,PE,2022-10-01 17:52:50,-12.1167,-73.0,303.74,42,40,1.99,scattered clouds
182,Kutum,SD,2022-10-01 17:52:50,14.2,24.6667,303.97,19,38,2.36,scattered clouds
183,Trofors,NO,2022-10-01 17:52:51,65.5333,13.4063,282.08,97,100,1.67,overcast clouds
184,Say,NE,2022-10-01 17:52:52,13.1007,2.3689,306.46,50,31,3.64,scattered clouds
185,Road Town,VG,2022-10-01 17:53:39,18.4167,-64.6167,303.17,79,40,4.12,scattered clouds
186,Utica,US,2022-10-01 17:53:52,43.1009,-75.2327,291.84,60,94,1.85,overcast clouds
187,Bataipora,BR,2022-10-01 17:53:53,-22.2953,-53.2711,299.25,61,59,2.14,broken clouds
188,Mundargi,IN,2022-10-01 17:53:53,15.2167,75.9,295.81,84,100,3.72,moderate rain
189,Cordoba,AR,2022-10-01 17:53:54,-31.4135,-64.1811,302.83,25,20,8.23,few clouds
190,Ostersund,SE,2022-10-01 17:53:54,63.1792,14.6357,282.4,87,75,4.12,broken clouds
191,Gander,CA,2022-10-01 17:53:55,48.9682,-54.5906,291.22,48,40,7.72,scattered clouds
192,Sao Filipe,CV,2022-10-01 17:53:55,14.8961,-24.4956,299.28,79,17,5.21,few clouds
193,Havelock,US,2022-10-01 17:53:55,34.8791,-76.9013,299.12,72,37,2.24,scattered clouds
194,Itarema,BR,2022-10-01 17:53:56,-2.9248,-39.9167,302.41,57,23,8.72,few clouds
195,Nangomba,TZ,2022-10-01 17:53:56,-10.9,38.5,298.73,48,1,4.3,clear sky
196,Krasnoselkup,RU,2022-10-01 17:53:57,65.7,82.4667,270.94,82,96,4.22,overcast clouds
197,Rio Cuarto,AR,2022-10-01 17:53:57,-33.1307,-64.3499,301.86,19,0,6.17,clear sky
